RouteID,EvacPoint,Shelter,Distance_km,Time_min
R1,Desa Panulisan Barat,BPBD Kabupaten Cilacap,105.426,142.1
R2,Desa Panulisan Barat,SMP N 1 Cilacap,106.891,145.1
R3,Desa Panulisan Barat,Politeknik Negeri Cilacap,102.493,139.5
R4,Desa Panulisan Barat,RSUD Cilacap,102.574,137.7
R5,Desa Panulisan Barat,Akbid Graha Mandiri,103.633,141.2
R6,Desa Panulisan Barat,Asrama Putri Stikes Al-Irsyad,101.949,137.9
R7,Desa Panulisan Barat,SD Al-Irsyad 01,104.415,139.2
R8,Desa Panulisan Barat,Rusunawa,104.493,140.8
R9,Desa Panulisan Barat,AMN Cilacap,101.109,137.2
R10,Desa Panulisan Barat,RSI Fatimah,99.762,135.4
R11,Desa Panulisan Barat,Badan Diklat Arsip dan Perpusd,103.94,140.7
R12,Desa Panulisan Barat,DPRD Kabupaten Cilacap,104.458,139.3
R13,Desa Panulisan Barat,SMP Pius Cilacap,105.142,144.1
R14,Desa Panulisan Barat,SMP Negeri 3 Cilacap,104.834,140.0
R15,Desa Panulisan Barat,SMP Purnama 1 Cilacap,103.249,140.4
R16,Desa Panulisan Barat,SMP Negeri 2 Cilacap,103.905,138.2
R17,Desa Panulisan Barat,Masjid Al-Jihad,98.787,131.5
R18,Desa Panulisan Barat,SMA Negeri 1 Cilacap,102.847,136.6
R19,Desa Panulisan Barat,RSU Santa Maria Cilacap,105.153,144.2
R20,Desa Panulisan Barat,Kantor Kelurahan Mertasinga,97.566,132.1
R21,Desa Panulisan Barat,Gedung Golkar,103.63,140.7
R22,Desa Panulisan Barat,SMA Sri Mukti Cilacap,101.927,138.2
R23,Desa Panulisan Barat,SMP Muhammadiyah 1,103.717,138.1
R24,Desa Panulisan Barat,SMP Muhammadiyah 2,97.339,129.1
R25,Desa Panulisan Barat,SMP PGRI 1 Cilacap,98.9,132.8
R26,Desa Panulisan Barat,SMP Purnama 2 Cilacap,103.942,138.2
R27,Desa Panulisan Barat,SMP Negeri 8 Cilacap,104.136,141.3
R28,Desa Panulisan Barat,SMK YPE Cilacap,103.612,141.2
R29,Desa Panulisan Barat,SMP Negeri 4 Cilacap,102.017,137.8
R30,Desa Panulisan Barat,SMP Negeri 6 Cilacap,101.747,137.3
R31,Desa Panulisan Barat,SD Negeri Tegalreja 01,102.944,136.4
R32,Desa Panulisan Barat,SMA Al-Irsyad Cilacap,104.496,139.4
R33,Desa Panulisan Barat,SD Negeri Tegalreja 02,101.829,136.1
R34,Desa Panulisan Barat,Masjid Agung Darussalam,104.704,140.0
R35,Desa Panulisan Barat,Hotel 3 Intan,105.661,142.1
R36,Desa Panulisan Barat,Hotel Mutiara,101.56,136.3
R37,Desa Panulisan Barat,PMI Cilacap,99.114,131.9
R38,Desa Panulisan Barat,SMA Yos Sudarso,104.886,143.7
R39,Desa Panulisan Barat,Rumah Sakit Aprilia,102.43,138.1
R40,Desa Panulisan Barat,Balai Desa Panulisan Barat,0.021,0.1
R41,Desa Panulisan Barat,Balai Desa Panulisan,1.223,3.9
R42,Desa Panulisan Barat,Balai Desa Panulisan Timur,3.932,10.9
R43,Desa Panulisan Barat,Balai Desa Karangrena,96.146,136.0
R44,Desa Panulisan Barat,Balai Desa Maos Kidul,96.113,131.9
R45,Desa Panulisan Barat,Balai Desa Maos Lor,97.575,130.4
R46,Desa Panulisan Barat,Balai Desa Kalijaran,98.955,137.9
R47,Desa Panulisan Barat,Balai Desa Mernek,100.024,137.7
R48,Desa Panulisan Barat,Balai Desa Penisihan,96.126,128.4
R49,Desa Panulisan Barat,Balai Desa Glempang,94.789,126.8
R50,Desa Panulisan Barat,Balai Desa Paketingan,94.506,129.6
R51,Desa Panulisan Barat,Balai Desa Ketanggung,96.538,130.4
R52,Desa Panulisan Barat,Balai Desa Nusajati,95.955,129.5
R53,Desa Panulisan Barat,Balai Desa Paberasan,97.262,133.8
R54,Desa Panulisan Barat,Balai Desa Karangjati,96.05,131.5
R55,Desa Panulisan Barat,Balai Desa Sidasari,93.697,126.7
R56,Desa Panulisan Barat,Balai Desa Karangasem,93.7,127.7
R57,Desa Panulisan Barat,Balai Desa Sampang,92.489,124.5
R58,Desa Panulisan Barat,Balai Desa Karangtengah,92.311,124.5
R59,Desa Panulisan Barat,Balai Desa Brani,90.697,122.2
R60,Desa Panulisan Barat,Balai Desa Sikampuh,99.291,134.8
R61,Desa Panulisan Barat,Balai Desa Karangturi,105.799,149.0
R62,Desa Panulisan Barat,Balai Desa Ayamalas,108.129,149.1
R63,Desa Panulisan Barat,Balai Desa Karangmangu,104.101,148.2
R64,Desa Panulisan Barat,Balai Desa Pucung Kidul,106.485,147.2
R65,Desa Panulisan Barat,Balai Desa Mergawati,108.744,151.5
R66,Desa Panulisan Barat,Balai Desa Pucung Lor,88.58,119.4
R67,Desa Panulisan Barat,Balai Desa Bajing,103.024,142.9
R68,Desa Panulisan Barat,Balai Desa Kroya,106.281,145.7
R69,Desa Panulisan Barat,Balai Desa Pekuncen,103.254,140.9
R70,Desa Panulisan Barat,Balai Desa Bajing Kulon,104.2,144.8
R71,Desa Panulisan Barat,Balai Desa Mujur,100.998,138.5
R72,Desa Panulisan Barat,Balai Desa Gentasari,98.484,134.9
R73,Desa Panulisan Barat,Balai Desa Mujur Lor,99.705,136.8
R74,Desa Panulisan Barat,Balai Desa Widarapayung Kulon,110.972,148.4
R75,Desa Panulisan Barat,Balai Desa Sidayu,111.529,149.5
R76,Desa Panulisan Barat,Balai Desa Widarapayung Wetan,112.798,151.0
R77,Desa Panulisan Barat,Balai Desa Sidaurip,55.686,90.2
R78,Desa Panulisan Barat,Balai Desa Pagubugan Kulon,117.069,155.8
R79,Desa Panulisan Barat,Balai Desa Pagubugan,118.595,158.7
R80,Desa Panulisan Barat,Balai Desa Karangnangka,114.529,160.7
R81,Desa Panulisan Barat,Balai Desa Kemojing,112.532,155.1
R82,Desa Panulisan Barat,Balai Desa Pesawahan,114.072,157.3
R83,Desa Panulisan Barat,Balai Desa Pasuruhan,111.11,157.2
R84,Desa Panulisan Barat,Balai Desa Alangamba,111.026,154.0
R85,Desa Panulisan Barat,Balai Desa Binangun,61.605,108.8
R86,Desa Panulisan Barat,Balai Desa Bangkal,106.235,153.8
R87,Desa Panulisan Barat,Balai Desa Jepara Wetan,111.176,153.8
R88,Desa Panulisan Barat,Balai Desa Jepara Kulon,109.741,150.7
R89,Desa Panulisan Barat,Balai Desa Kepudang,109.016,149.9
R90,Desa Panulisan Barat,Balai Desa Jati,109.927,153.3
R91,Desa Panulisan Barat,Balai Desa Karangtawang,119.898,160.7
R92,Desa Panulisan Barat,Balai Desa Karangpakis,121.407,160.9
R93,Desa Panulisan Barat,Balai Desa Banjarsari,123.331,163.0
R94,Desa Panulisan Barat,Balai Desa Jetis,125.763,166.0
R95,Desa Panulisan Barat,Balai Desa Banjareja,121.129,166.3
R96,Desa Panulisan Barat,Balai Desa Kedungbenda,118.659,162.4
R97,Desa Panulisan Barat,Balai Desa Klumprit,116.745,159.4
R98,Desa Panulisan Barat,Balai Desa Karangsembung,120.217,168.7
R99,Desa Panulisan Barat,Balai Desa Purwadadi,117.977,161.8
R100,Desa Panulisan Barat,Balai Desa Nusawangkal,117.144,160.1
R101,Desa Panulisan Barat,Balai Desa Karangputat,112.155,155.0
R102,Desa Panulisan Barat,Balai Desa Banjarwaru,108.181,149.0
R103,Desa Panulisan Barat,Balai Desa Danasri,110.92,153.0
R104,Desa Panulisan Barat,Balai Desa Danasri Kidul,112.244,155.0
R105,Desa Panulisan Barat,Balai Desa Nusawungu,114.519,156.2
R106,Desa Panulisan Barat,Balai Desa Danasri Lor,110.453,152.0
R107,Desa Panulisan Barat,Balai Desa Sikanco,109.436,150.5
R108,Desa Panulisan Barat,Balai Desa Tambakreja,48.29,73.6
R109,Desa Panulisan Barat,Kelurahan Tegalreja,102.581,140.6
R110,Desa Panulisan Barat,Kelurahan Sidakaya,103.709,140.9
R111,Desa Panulisan Barat,Kelurahan Cilacap,105.351,144.3
R112,Desa Panulisan Barat,Kelurahan Tegalkamulyan,103.829,139.9
R113,Desa Panulisan Barat,Kelurahan Kutawaru,80.266,139.0
R114,Desa Panulisan Barat,Kelurahan Lomanis,101.335,134.9
R115,Desa Panulisan Barat,Kelurahan Donan,103.281,138.5
R116,Desa Panulisan Barat,Kelurahan Sidanegara,102.07,137.6
R117,Desa Panulisan Barat,Kelurahan Gunungsimping,101.263,137.0
R118,Desa Panulisan Barat,Kelurahan Kebonmanis,99.887,134.0
R119,Desa Panulisan Barat,Kelurahan Gumilir,97.948,130.4
R120,Desa Panulisan Barat,Kelurahan Mertasinga,96.735,130.6
R121,Desa Panulisan Barat,Kelurahan Tritih Kulon,96.131,127.3
R122,Desa Panulisan Barat,Kelurahan Karangtalun,98.136,130.0
R123,Desa Panulisan Barat,Balai Desa Kawunganten,62.846,94.8
R124,Desa Panulisan Barat,Balai Desa Kawunganten Lor,63.027,98.0
R125,Desa Panulisan Barat,Balai Desa Sarwadadi,66.037,105.0
R126,Desa Panulisan Barat,Balai Desa Kalijeruk,65.673,102.0
R127,Desa Panulisan Barat,Balai Desa Mentasan,68.264,107.0
R128,Desa Panulisan Barat,Balai Desa Sidaurip,74.152,119.3
R129,Desa Panulisan Barat,Balai Desa Babakan,74.22,122.2
R130,Desa Panulisan Barat,Balai Desa Ujunggagak,67.348,104.6
R131,Desa Panulisan Barat,Balai Desa Klaces,67.348,104.6
R132,Desa Panulisan Barat,Balai Desa Panikel,68.097,126.3
R133,Desa Panulisan Barat,Balai Desa Tritih Wetan,94.676,126.2
R134,Desa Panulisan Barat,Balai Desa Sumingkir,93.586,124.4
R135,Desa Panulisan Barat,Balai Desa Jeruklegi Wetan,88.259,115.2
R136,Desa Panulisan Barat,Balai Desa Jeruklegi Kulon,76.993,116.3
R137,Desa Panulisan Barat,Balai Desa Sawangan,77.358,118.8
R138,Desa Panulisan Barat,Balai Desa Cilibang,82.49,107.9
R139,Desa Panulisan Barat,Balai Desa Mandala,96.624,132.3
R140,Desa Panulisan Barat,Balai Desa Karangkemiri,95.359,132.2
R141,Desa Panulisan Barat,Balai Desa Jambusari,80.878,106.4
R142,Desa Panulisan Barat,Balai Desa Prapagan,84.224,120.6
R143,Desa Panulisan Barat,Balai Desa Citepus,85.415,126.6
R144,Desa Panulisan Barat,Balai Desa Menganti,98.982,133.6
R145,Desa Panulisan Barat,Balai Desa Karangkandri,100.582,135.3
R146,Desa Panulisan Barat,Balai Desa Slarang,96.605,131.7
R147,Desa Panulisan Barat,Balai Desa Kesugihan Kidul,92.112,126.6
R148,Desa Panulisan Barat,Balai Desa Kesugihan,90.566,122.8
R149,Desa Panulisan Barat,Balai Desa Kalisabuk,97.467,132.8
R150,Desa Panulisan Barat,Balai Desa Kuripan Kidul,99.077,132.2
R151,Desa Panulisan Barat,Balai Desa Kuripan,98.687,131.3
R152,Desa Panulisan Barat,Balai Desa Jangrana,99.671,135.4
R153,Desa Panulisan Barat,Balai Desa Planjan,96.631,127.7
R154,Desa Panulisan Barat,Balai Desa Dondong,96.55,128.5
R155,Desa Panulisan Barat,Balai Desa Ciwuni,92.821,126.9
R156,Desa Panulisan Barat,Balai Desa Karangjengkol,91.748,125.0
R157,Desa Panulisan Barat,Balai Desa Keleng,89.264,120.6
R158,Desa Panulisan Barat,Balai Desa Pesanggrahan,88.806,119.8
R159,Desa Panulisan Barat,Balai Desa Bulupayung,93.098,125.7
R160,Desa Panulisan Barat,Balai Desa Gombolharjo,97.012,133.3
R161,Desa Panulisan Barat,Balai Desa Wlahar,99.889,138.4
R162,Desa Panulisan Barat,Balai Desa Karanganyar,100.989,139.7
R163,Desa Panulisan Barat,Balai Desa Pedasong,106.081,145.1
R164,Desa Panulisan Barat,Balai Desa Glempangpasir,104.613,142.4
R165,Desa Panulisan Barat,Balai Desa Welahan Wetan,108.969,146.5
R166,Desa Panulisan Barat,Balai Desa Adireja Wetan,100.817,137.5
R167,Desa Panulisan Barat,Balai Desa Adireja Kulon,99.887,136.2
R168,Desa Panulisan Barat,Balai Desa Adipala,99.465,135.8
R169,Desa Panulisan Barat,Balai Desa Penggalang,98.204,134.5
R170,Desa Panulisan Barat,Balai Desa Karangsari,97.03,139.3
R171,Desa Panulisan Barat,Balai Desa Kalikudi,96.653,132.0
R172,Desa Panulisan Barat,Balai Desa Doplang,99.541,136.1
R173,Desa Panulisan Barat,Balai Desa Karangreja,95.272,130.3
R174,Desa Panulisan Barat,Balai Desa Klapagada,95.127,130.8
R175,Desa Panulisan Barat,Balai Desa Pengawaren,45.045,61.4
R176,Desa Panulisan Barat,Balai Desa Gunungtelu,52.536,72.2
R177,Desa Panulisan Barat,Balai Desa Sindangbarang,52.06,68.2
R178,Desa Panulisan Barat,Balai Desa Karangpucung,49.309,65.4
R179,Desa Panulisan Barat,Balai Desa Tayemtimur,50.868,68.3
R180,Desa Panulisan Barat,Balai Desa Tayem,48.364,64.2
R181,Desa Panulisan Barat,Balai Desa Ciporos,44.2,58.2
R182,Desa Panulisan Barat,Balai Desa Surusunda,49.641,75.2
R183,Desa Panulisan Barat,Balai Desa Bengbulang,50.905,73.7
R184,Desa Panulisan Barat,Balai Desa Sidamulya,68.01,133.1
R185,Desa Panulisan Barat,Balai Desa Ciruyung,55.872,88.5
R186,Desa Panulisan Barat,Balai Desa Pamulihan,54.375,92.3
R187,Desa Panulisan Barat,Balai Desa Babakan,48.576,74.8
R188,Desa Panulisan Barat,Balai Desa Serang,37.618,58.2
R189,Desa Panulisan Barat,Balai Desa Mulyadadi,32.811,49.7
R190,Desa Panulisan Barat,Balai Desa Cipari,33.875,51.8
R191,Desa Panulisan Barat,Balai Desa Segaralangu,36.694,61.8
R192,Desa Panulisan Barat,Balai Desa Karangreja,40.825,75.6
R193,Desa Panulisan Barat,Balai Desa Kutasari,43.051,73.9
R194,Desa Panulisan Barat,Balai Desa Pegadingan,34.125,58.0
R195,Desa Panulisan Barat,Balai Desa Cisuru,31.171,49.0
R196,Desa Panulisan Barat,Balai Desa Mekarsari,32.172,52.1
R197,Desa Panulisan Barat,Balai Desa Sidasari,31.754,67.8
R198,Desa Panulisan Barat,Balai Desa Caruy,40.383,65.8
R199,Desa Panulisan Barat,Balai Desa Tegalsari,40.174,60.7
R200,Desa Panulisan Barat,Balai Desa Margasari,39.852,64.1
R201,Desa Panulisan Barat,Balai Desa Tinggarjaya,39.026,58.6
R202,Desa Panulisan Barat,Balai Desa Gunungreja,42.397,65.0
R203,Desa Panulisan Barat,Balai Desa Sidareja,42.198,64.6
R204,Desa Panulisan Barat,Balai Desa Sidamulya,16.853,30.7
R205,Desa Panulisan Barat,Balai Desa Sudagaran,44.197,68.7
R206,Desa Panulisan Barat,Balai Desa Kunci,45.387,72.3
R207,Desa Panulisan Barat,Balai Desa Karanggedang,49.223,80.8
R208,Desa Panulisan Barat,Balai Desa Penyarang,45.762,84.8
R209,Desa Panulisan Barat,Balai Desa Sidanegara,45.224,91.8
R210,Desa Panulisan Barat,kelurahan Tambakreja,48.281,73.6
R211,Desa Panulisan Barat,Balai Desa Kaliwungu,105.87,144.7
R212,Desa Panulisan Barat,Balai Desa Bumireja,50.078,78.7
R213,Desa Panulisan Barat,Balai Desa Jatisari,46.484,78.0
R214,Desa Panulisan Barat,Balai Desa Ciklapa,46.44,79.5
R215,Desa Panulisan Barat,Balai Desa Bangunreja,45.251,73.0
R216,Desa Panulisan Barat,Balai Desa Kedungreja,45.12,71.0
R217,Desa Panulisan Barat,Balai Desa Tambaksari,13.094,39.0
R218,Desa Panulisan Barat,Balai Desa Rejamulya,36.352,58.6
R219,Desa Panulisan Barat,Balai Desa Bojongsari,34.151,57.0
R220,Desa Panulisan Barat,Balai Desa Rawaapu,60.541,90.4
R221,Desa Panulisan Barat,Balai Desa Sidamukti,58.275,85.7
R222,Desa Panulisan Barat,Balai Desa Purwodadi,57.618,85.7
R223,Desa Panulisan Barat,Balai Desa Cimrutu,63.665,102.9
R224,Desa Panulisan Barat,Balai Desa Patimuan,54.703,82.3
R225,Desa Panulisan Barat,Balai Desa Cinyawang,52.525,78.5
R226,Desa Panulisan Barat,Balai Desa Bulupayung,92.916,125.0
R227,Desa Panulisan Barat,Balai Desa Cisumur,52.929,84.9
R228,Desa Panulisan Barat,Balai Desa Sidaurip,55.781,90.6
R229,Desa Panulisan Barat,Balai Desa Gintungreja,57.977,97.9
R230,Desa Panulisan Barat,Balai Desa Layansari,53.891,88.3
R231,Desa Panulisan Barat,Balai Desa Gandrungmanis,51.115,78.5
R232,Desa Panulisan Barat,Balai Desa Bulusari,49.234,75.6
R233,Desa Panulisan Barat,Balai Desa Gandrungmangu,49.083,76.4
R234,Desa Panulisan Barat,Balai Desa Wringinharjo,45.523,70.3
R235,Desa Panulisan Barat,Balai Desa Karanganyar,49.021,74.5
R236,Desa Panulisan Barat,Balai Desa Muktisari,51.672,82.2
R237,Desa Panulisan Barat,Balai Desa Kertajaya,65.505,99.1
R238,Desa Panulisan Barat,Balai Desa Cinangsi,55.808,72.9
R239,Desa Panulisan Barat,Balai Desa Karanggintung,58.528,79.6
R240,Desa Panulisan Barat,Balai Desa Rungkang,57.352,82.5
R241,Desa Panulisan Barat,Balai Desa Bantarsari,53.466,82.9
R242,Desa Panulisan Barat,Balai Desa Rawajaya,56.528,89.7
R243,Desa Panulisan Barat,Balai Desa Binangun,110.287,152.5
R244,Desa Panulisan Barat,Balai Desa Bulaksari,55.626,90.0
R245,Desa Panulisan Barat,Balai Desa Kamulyan,52.215,83.7
R246,Desa Panulisan Barat,Balai Desa Cikedondong,58.311,101.0
R247,Desa Panulisan Barat,Balai Desa Kedungwadas,63.994,94.9
R248,Desa Panulisan Barat,Balai Desa Grugu,70.01,109.0
R249,Desa Panulisan Barat,Balai Desa Ujungmanik,70.61,109.7
R250,Desa Panulisan Barat,Balai Desa Kubangkangkung,67.24,100.8
R251,Desa Panulisan Barat,Balai Desa Bojong,64.907,98.0
R252,Desa Panulisan Barat,Balai Desa Cidadap,42.28,60.5
R253,Desa Panulisan Barat,Balai Desa Matenggeng,5.166,15.0
R254,Desa Panulisan Barat,Balai Desa Ciwalen,7.113,20.4
R255,Desa Panulisan Barat,Balai Desa Dayeuhluhur,8.458,21.4
R256,Desa Panulisan Barat,Balai Desa Hanum,12.711,33.4
R257,Desa Panulisan Barat,Balai Desa Datar,17.128,45.8
R258,Desa Panulisan Barat,Balai Desa Bingkeng,11.466,26.9
R259,Desa Panulisan Barat,Balai Desa Bolang,18.292,42.2
R260,Desa Panulisan Barat,Balai Desa Kutaagung,21.115,51.0
R261,Desa Panulisan Barat,Balai Desa Cijeruk,18.508,43.8
R262,Desa Panulisan Barat,Balai Desa Cilumping,21.967,54.2
R263,Desa Panulisan Barat,Balai Desa Sumpinghayu,20.692,52.2
R264,Desa Panulisan Barat,Balai Desa Purwasari,31.187,54.4
R265,Desa Panulisan Barat,Balai Desa Cilongkrang,26.724,41.5
R266,Desa Panulisan Barat,Balai Desa Tarisi,24.436,38.1
R267,Desa Panulisan Barat,Balai Desa Bantar,19.282,30.6
R268,Desa Panulisan Barat,Balai Desa Adimulya,15.654,25.5
R269,Desa Panulisan Barat,Balai Desa Wanareja,15.625,27.6
R270,Desa Panulisan Barat,Balai Desa Madura,10.262,19.0
R271,Desa Panulisan Barat,Balai Desa Madusari,13.126,32.3
R272,Desa Panulisan Barat,Balai Desa Majingklak,16.838,39.4
R273,Desa Panulisan Barat,Balai Desa Malabar,21.723,42.5
R274,Desa Panulisan Barat,Balai Desa Limbangan,21.588,38.8
R275,Desa Panulisan Barat,Balai Desa Cigantung,42.457,82.6
R276,Desa Panulisan Barat,Balai Desa Palugon,19.073,58.1
R277,Desa Panulisan Barat,Balai Desa Pahonjean,22.67,33.4
R278,Desa Panulisan Barat,Balai Desa Mulyadadi,28.777,45.6
R279,Desa Panulisan Barat,Balai Desa Mulyasari,30.934,50.4
R280,Desa Panulisan Barat,Balai Desa Padangsari,33.668,55.1
R281,Desa Panulisan Barat,Balai Desa Cilopadang,30.818,42.9
R282,Desa Panulisan Barat,Balai Desa Padangjaya,31.732,46.7
R283,Desa Panulisan Barat,Balai Desa Sindangsari,28.324,40.4
R284,Desa Panulisan Barat,Balai Desa Jenang,27.041,38.1
R285,Desa Panulisan Barat,Balai Desa Salebu,21.279,35.0
R286,Desa Panulisan Barat,Balai Desa Cibeunying,23.612,38.7
R287,Desa Panulisan Barat,Balai Desa Sepatnunggal,35.607,62.0
R288,Desa Panulisan Barat,Balai Desa Bener,33.139,54.8
R289,Desa Panulisan Barat,Balai Desa Boja,35.999,53.3
R290,Desa Panulisan Barat,Balai Desa Ujungbarang,39.905,61.9
R291,Desa Panulisan Barat,Balai Desa Pengadegan,41.851,70.7
R292,Desa Panulisan Barat,Balai Desa Sadabumi,39.978,75.2
R293,Desa Panulisan Barat,Balai Desa Sadahayu,40.627,77.1
R294,Desa Panulisan Barat,Balai Desa Karangreja,37.962,58.6
R295,Desa Panulisan Barat,Balai Desa Cimanggu,38.344,51.9
R296,Desa Panulisan Barat,Balai Desa Bantarpanjang,40.977,54.2
R297,Desa Panulisan Barat,Balai Desa Panimbang,42.343,55.8
R298,Desa Panulisan Barat,Balai Desa Mandala,46.71,69.2
R299,Desa Panulisan Barat,Balai Desa Bantarmangu,45.323,66.0
R300,Desa Panulisan Barat,Balai Desa Cilempuyang,37.42,50.2
R301,Desa Panulisan Barat,Balai Desa Rejodadi,33.744,50.2
R302,Desa Panulisan Barat,Balai Desa Negarajati,38.238,62.1
R303,Desa Panulisan Barat,Balai Desa Cisalak,42.339,73.9
R304,Desa Panulisan Barat,Balai Desa Cibalung,48.31,74.8
R305,Desa Panulisan Barat,Balai Desa Kutabima,48.338,91.8
R306,Desa Panulisan Barat,Balai Desa Pesahangan,38.363,63.4
R307,Desa Panulisan Barat,Balai Desa Cijati,36.317,57.6
R308,Desa Panulisan Barat,Balai Desa Tambaksari,13.067,38.9
R309,Desa Panulisan Barat,Balai Desa Bulupayung,53.86,84.9
R310,Desa Panulisan Barat,Balai Desa Bunton,100.633,139.6
R311,Desa Panulisan Barat,Balai Desa Karangbenda,102.607,140.3
R312,Desa Panulisan Barat,Balai Desa Adiraja,101.149,137.8
R313,Desa Panulisan Barat,Balai Desa Tritih Lor,90.519,119.0
R314,Desa Panulisan Barat,Balai Desa Brebeg,77.427,121.1
R315,Desa Dayeluhur,BPBD Kabupaten Cilacap,146.564,203.8
R316,Desa Dayeluhur,SMP N 1 Cilacap,148.03,206.8
R317,Desa Dayeluhur,Politeknik Negeri Cilacap,143.632,201.3
R318,Desa Dayeluhur,RSUD Cilacap,143.713,199.4
R319,Desa Dayeluhur,Akbid Graha Mandiri,144.772,203.1
R320,Desa Dayeluhur,Asrama Putri Stikes Al-Irsyad,143.088,199.7
R321,Desa Dayeluhur,SD Al-Irsyad 01,145.554,200.9
R322,Desa Dayeluhur,Rusunawa,145.631,202.6
R323,Desa Dayeluhur,AMN Cilacap,142.248,198.9
R324,Desa Dayeluhur,RSI Fatimah,140.9,197.1
R325,Desa Dayeluhur,Badan Diklat Arsip dan Perpusd,145.079,202.5
R326,Desa Dayeluhur,DPRD Kabupaten Cilacap,145.596,201.0
R327,Desa Dayeluhur,SMP Pius Cilacap,146.85,204.6
R328,Desa Dayeluhur,SMP Negeri 3 Cilacap,145.973,201.6
R329,Desa Dayeluhur,SMP Purnama 1 Cilacap,144.388,202.3
R330,Desa Dayeluhur,SMP Negeri 2 Cilacap,145.043,199.8
R331,Desa Dayeluhur,Masjid Al-Jihad,139.926,193.2
R332,Desa Dayeluhur,SMA Negeri 1 Cilacap,143.985,198.2
R333,Desa Dayeluhur,RSU Santa Maria Cilacap,146.861,204.6
R334,Desa Dayeluhur,Kantor Kelurahan Mertasinga,138.704,193.8
R335,Desa Dayeluhur,Gedung Golkar,144.769,202.6
R336,Desa Dayeluhur,SMA Sri Mukti Cilacap,143.066,199.9
R337,Desa Dayeluhur,SMP Muhammadiyah 1,144.856,199.7
R338,Desa Dayeluhur,SMP Muhammadiyah 2,138.478,190.7
R339,Desa Dayeluhur,SMP PGRI 1 Cilacap,140.038,194.5
R340,Desa Dayeluhur,SMP Purnama 2 Cilacap,145.081,199.9
R341,Desa Dayeluhur,SMP Negeri 8 Cilacap,145.274,203.2
R342,Desa Dayeluhur,SMK YPE Cilacap,144.751,203.0
R343,Desa Dayeluhur,SMP Negeri 4 Cilacap,143.156,199.7
R344,Desa Dayeluhur,SMP Negeri 6 Cilacap,142.886,199.2
R345,Desa Dayeluhur,SD Negeri Tegalreja 01,144.082,198.1
R346,Desa Dayeluhur,SMA Al-Irsyad Cilacap,145.635,201.1
R347,Desa Dayeluhur,SD Negeri Tegalreja 02,142.968,197.7
R348,Desa Dayeluhur,Masjid Agung Darussalam,145.842,201.7
R349,Desa Dayeluhur,Hotel 3 Intan,146.8,203.7
R350,Desa Dayeluhur,Hotel Mutiara,142.699,198.0
R351,Desa Dayeluhur,PMI Cilacap,140.252,193.6
R352,Desa Dayeluhur,SMA Yos Sudarso,146.595,204.1
R353,Desa Dayeluhur,Rumah Sakit Aprilia,143.568,199.9
R354,Desa Dayeluhur,Balai Desa Panulisan Barat,48.695,84.1
R355,Desa Dayeluhur,Balai Desa Panulisan,47.485,80.5
R356,Desa Dayeluhur,Balai Desa Panulisan Timur,49.582,78.9
R357,Desa Dayeluhur,Balai Desa Karangrena,137.285,197.5
R358,Desa Dayeluhur,Balai Desa Maos Kidul,137.252,193.5
R359,Desa Dayeluhur,Balai Desa Maos Lor,138.713,192.2
R360,Desa Dayeluhur,Balai Desa Kalijaran,140.094,199.6
R361,Desa Dayeluhur,Balai Desa Mernek,141.163,199.4
R362,Desa Dayeluhur,Balai Desa Penisihan,137.265,190.2
R363,Desa Dayeluhur,Balai Desa Glempang,135.927,188.5
R364,Desa Dayeluhur,Balai Desa Paketingan,135.645,191.3
R365,Desa Dayeluhur,Balai Desa Ketanggung,137.677,192.1
R366,Desa Dayeluhur,Balai Desa Nusajati,137.094,191.2
R367,Desa Dayeluhur,Balai Desa Paberasan,138.4,195.8
R368,Desa Dayeluhur,Balai Desa Karangjati,137.188,193.4
R369,Desa Dayeluhur,Balai Desa Sidasari,134.835,188.4
R370,Desa Dayeluhur,Balai Desa Karangasem,134.839,189.4
R371,Desa Dayeluhur,Balai Desa Sampang,133.628,186.2
R372,Desa Dayeluhur,Balai Desa Karangtengah,133.45,186.1
R373,Desa Dayeluhur,Balai Desa Brani,131.836,183.8
R374,Desa Dayeluhur,Balai Desa Sikampuh,140.43,196.6
R375,Desa Dayeluhur,Balai Desa Karangturi,146.938,210.8
R376,Desa Dayeluhur,Balai Desa Ayamalas,149.268,211.1
R377,Desa Dayeluhur,Balai Desa Karangmangu,145.24,210.4
R378,Desa Dayeluhur,Balai Desa Pucung Kidul,147.624,209.6
R379,Desa Dayeluhur,Balai Desa Mergawati,149.882,213.9
R380,Desa Dayeluhur,Balai Desa Pucung Lor,129.719,180.9
R381,Desa Dayeluhur,Balai Desa Bajing,144.163,205.1
R382,Desa Dayeluhur,Balai Desa Kroya,147.419,207.7
R383,Desa Dayeluhur,Balai Desa Pekuncen,143.013,202.4
R384,Desa Dayeluhur,Balai Desa Bajing Kulon,145.339,206.5
R385,Desa Dayeluhur,Balai Desa Mujur,142.137,200.6
R386,Desa Dayeluhur,Balai Desa Gentasari,139.623,196.7
R387,Desa Dayeluhur,Balai Desa Mujur Lor,140.844,198.9
R388,Desa Dayeluhur,Balai Desa Widarapayung Kulon,152.111,210.3
R389,Desa Dayeluhur,Balai Desa Sidayu,152.668,211.4
R390,Desa Dayeluhur,Balai Desa Widarapayung Wetan,153.937,213.0
